rank,name,height,floors,year,address,street
134,750 7th Avenue,615,35,1989,750 Seventh Avenue,Seventh Avenue
135,The Epic,615,61,2007,125 West 31st Street,West 31st Street
136,Eventi,614,54,2010,851 Sixth Avenue,Sixth Avenue
137,555TEN,612,53,2016,555 Tenth Avenue,Tenth Avenue
138,The Hub,610,54,2016,333 Schermerhorn Street,Schermerhorn Street
139,Credit Lyonnais Building,609,46,1964,1301 Sixth Avenue,Sixth Avenue
140,Baccarat Hotel and Residences,605,48,2014,28 West 53rd Street,West 53rd Street
141,The Orion,604,60,2006,350 West 42nd Street,West 42nd Street
142,590 Madison Avenue,603,41,1983,590 Madison Avenue,Madison Avenue
143,250 West 55th Street,602,39,2013,250 West 55th Street,West 55th Street
144,Eleven Times Square,601,40,2011,11 Times Square,Times Square
145,1166 Avenue of the Americas,600,44,1974,1166 Sixth Avenue,Sixth Avenue
